,feature name,feature value,min,1q,median,3q,max,mean,sd,n (nearest 5),kfold
80,stroke_severity_arrival,17.0,-0.41170620696619153,9.444974087134469,14.73823880290147,19.00465703716036,41.527194448369556,14.76841387602193,6.336309715565976,1190,1
81,stroke_severity_arrival,18.0,-2.2494932977156714,8.707531824996694,14.046528114306275,18.979528148549143,39.44265304097906,14.43389139220115,6.832674539997423,1085,1
82,stroke_severity_arrival,19.0,-3.9423614857625218,8.274811938572675,13.607991306553595,18.355104745640418,42.3307033210271,13.964368625019217,6.723200528167232,1130,1
83,stroke_severity_arrival,20.0,-8.097819579332135,7.39250610007497,13.665817373420577,18.733238892090156,54.311340948301364,14.089593861891316,8.372649927428462,995,1
84,stroke_severity_arrival,21.0,-6.243190455490257,5.934428908665431,11.755207555044908,17.323047946753213,39.370284181530586,12.365793291946822,7.781548320179374,920,1
85,stroke_severity_arrival,22.0,-0.8441169165610336,6.369881401278544,11.565604395639383,17.377115468669654,54.972976474051826,12.719253384289503,8.3354749606694,790,1
86,stroke_severity_arrival,23.0,-6.150500565757975,3.4755765713786237,9.001344292035792,15.044745978772408,41.53115902433172,9.90002172121445,7.966961258942248,810,1
87,stroke_severity_arrival,24.0,-6.161026463985909,1.1825788467051461,5.473966966347071,11.163653101248201,35.07260966348229,6.78053415240043,6.893314186999813,705,1
88,stroke_severity_arrival,25.0,-11.83044485099963,1.4678170780959774,6.511002635087352,13.438193661557161,53.86919633436832,8.386893147003638,9.196643786281104,630,1
89,stroke_severity_arrival,26.0,-6.710956163364463,-1.7665151887130923,2.9043931499891915,8.600915350683499,36.403677399037406,4.762051504437404,8.274096812440977,535,1
90,stroke_severity_arrival,27.0,-7.494500772280153,-2.986223017416196,0.12497985065565445,5.6698398496564195,58.97749149043811,2.3225169896357962,7.814035674328199,435,1
91,stroke_severity_arrival,28.0,-13.555850406133104,-5.383027411359363,-2.256556567386724,1.988600673387409,41.13347590698861,-0.44816671217817283,7.632441595083623,365,1
92,stroke_severity_arrival,29.0,-11.242860450639855,-6.693564444317016,-3.0490172001556495,1.2076077779498882,41.529292555376884,-0.7796930128147641,8.616927359482546,235,1
93,stroke_severity_arrival,30.0,-12.77718118060613,-10.130786924831918,-7.614461688727606,-2.568204046447063,44.77065843698336,-4.868035102953388,8.279538024231162,230,1
94,stroke_severity_arrival,31.0,-15.082351407266687,-10.650310168452561,-8.315984143929091,-3.9971267073921624,29.682288858981337,-6.5705269845622665,6.222550323054017,140,1
95,stroke_severity_arrival,32.0,-15.773442959398963,-10.958955308937002,-8.568711453017313,-4.737142576616025,23.093262832041365,-6.595847536202066,6.466234186599404,150,1
96,stroke_severity_arrival,33.0,-18.492896870495752,-13.971794549960178,-11.933823008735198,-5.716039322561119,19.738782963634,-8.647629265087422,8.368112925378771,100,1
97,stroke_severity_arrival,34.0,-33.65735686649452,-15.325200176875223,-12.381247451829257,-9.269220832238206,32.51107338319416,-10.534552154226567,8.981943575089629,80,1
98,stroke_severity_arrival,35.0,-18.441853924789466,-13.743178194321226,-12.402309019861278,-7.578000505944365,24.42000734796107,-9.25161923171295,8.499159342819661,75,1
99,stroke_severity_arrival,36.0,-19.05676583100809,-16.209397968521806,-14.59690712596057,-10.689631620186848,8.319215290121502,-12.448278740253562,5.808956012734808,40,1
100,stroke_severity_arrival,37.0,-17.30780162238283,-14.491069064189796,-13.152105232295579,-10.237866378781618,23.09582998986356,-10.241337115884292,8.210456426431595,40,1
101,stroke_severity_arrival,38.0,-18.79693555359496,-15.484938880432747,-13.652992498686071,-7.448747461473103,12.295586192478659,-10.57568280537777,8.04312484355062,35,1
102,stroke_severity_arrival,39.0,-19.792934464511927,-18.017146796055606,-16.498407574871088,-13.039342583981343,24.62317971647717,-13.725284111886252,8.126419345682784,35,1
103,stroke_severity_arrival,40.0,-22.717425302953924,-19.040442044541706,-17.48339624607237,-14.506098559412639,13.322120643552626,-14.944927896428245,7.496789014712011,65,1
104,stroke_severity_arrival,41.0,-26.698001451140737,-16.999901542637964,-13.556528105752077,-11.769663347138557,-1.6915520904702135,-13.321143211392753,6.0181777279041775,20,1
105,stroke_severity_arrival,42.0,-23.626915302709676,-14.645137296461035,-13.115061614310834,-10.814329019982834,37.004012428164714,-12.011418870296271,6.81284126935966,110,1
106,prior_disability,0.0,-13.62002532988321,-2.705228216475807,-2.195960077387281,-1.1433210375043563,9.810885966219939,-1.7539742904893485,1.3962922340164634,39265,1
107,prior_disability,1.0,-7.998956091986038,-0.5535919860936701,-0.15305810677120463,0.20890500018838792,8.808835527184419,-0.12992304830223855,0.7149377304651127,13655,1
108,prior_disability,2.0,-11.977156650563701,2.0624637577100655,3.0680614945758133,3.933681743936613,13.171685956893489,2.8882782285514734,1.5483305706208421,8715,1
109,prior_disability,3.0,-20.087585202106276,-0.11542324007372372,3.2993672295520082,5.72515712318942,22.09662430553697,2.949162105644102,3.3397459367807065,9630,1
110,prior_disability,4.0,-15.634113614140078,-3.4051554226619194,0.20799481701338662,4.230435174782761,30.659220969495365,0.6748831118369176,4.787247009792137,4845,1
111,prior_disability,5.0,-16.424165542009288,-8.651150131949688,-6.388744915314018,-1.6195361817860976,37.89677591088694,-4.600660744335475,5.674361176353948,1250,1
112,age,0-29,-19.70201482998673,-3.315918713515857,-0.2915408196928911,4.3260666361521,53.13496123500983,2.2857032547736362,10.579816309663709,325,1
113,age,30-59,-30.600292528194842,-3.4631218486872966,-2.3680788831220703,-0.9794066748520709,45.30760333821643,-1.2917711845305748,4.576939540637252,11720,1
114,age,60+,-25.565520515455866,-1.5317802577954718,-0.09022511643415783,1.5280603060871363,37.17290301020723,-0.10041879778051332,2.7228802535462484,65340,1
115,precise_onset_known,0.0,-5.725417071008123,0.6768200536165386,0.8113725253287702,0.9796993619855493,11.466138689126819,0.8389583381361059,0.3619350624896222,52615,1
116,precise_onset_known,1.0,-32.418176009105515,-1.8539990662876518,-1.5336835469212382,-1.1956856828555464,7.51233447262086,-1.5694693161184787,0.8746478502589041,24770,1
117,diabetes,0.0,-8.41866405840963,-0.6993295694165863,-0.5805557869980111,-0.4277830884233117,4.828583321170881,-0.5633250102954419,0.34387632162583454,59605,1
118,diabetes,1.0,-9.955543847428634,1.8096108433569316,2.4747825209982692,2.9839727166551167,36.94240979574621,2.3686283244322164,1.3483797833506048,17780,1
119,IMD_2019_QUINTILES,1.0,-22.29629917911021,0.5506628465710673,0.9895996643404943,1.376816345046973,23.25756157345604,0.9018433000894147,1.0737594117195088,15540,1
120,IMD_2019_QUINTILES,2.0,-23.108161006181035,-0.11650160543387755,0.09907377463765442,0.3054264879529365,9.661331813111902,0.09685885820632494,0.7440516714447637,15035,1
121,IMD_2019_QUINTILES,3.0,-12.820762554462998,-0.2699586363742128,-0.10082240772433579,0.08087532894103788,10.936314001097344,-0.07228096116623753,0.5981782585233517,16065,1
122,IMD_2019_QUINTILES,4.0,-14.700784417309332,-0.6490347376419231,-0.4287783510866575,-0.18001738910388668,13.687199695811142,-0.3966785514232467,0.6384863099614545,15810,1
123,IMD_2019_QUINTILES,5.0,-14.516533299828879,-0.9626768084900686,-0.6481506588566117,-0.270076312541496,21.04225481685251,-0.6026210351850378,0.915750871998936,14935,1
124,any_afib_diagnosis,0.0,-14.08882015937008,-0.5103511545713991,-0.32910828659310937,-0.12651175598613917,7.985161496319343,-0.340662104021954,0.49878871838010896,58655,1
125,any_afib_diagnosis,1.0,-19.277403071769513,0.5161271602916532,0.9927121929405257,1.4259240023000166,16.082733160471545,0.9542212257238526,0.8954235861545584,18730,1
126,stroke_severity_arrival,0.0,-24.80947393957642,-9.72081768955104,-8.269958339466248,-5.931715610199608,63.27072168427054,-7.6457948151327,3.287794183637017,7250,2
127,stroke_severity_arrival,1.0,-30.679455825333715,-13.187376467931315,-11.822865453490522,-10.158296108366049,2.156737050571246,-11.497359771926051,2.652011067513024,7725,2
