,feature name,feature value,min,1q,median,3q,max,mean,sd,n,kfold
104,stroke_severity_arrival,41.0,-216.25322188165038,-183.3715279934823,-171.27599252247484,-138.1401974637946,-58.254652059506626,-158.92183241390995,38.28364511565068,15,1
105,stroke_severity_arrival,42.0,-253.42771298004314,-223.67407552135177,-207.69525864162483,-189.71235095008277,-128.95579607677647,-204.8641767467126,23.592342950152915,93,1
106,age,0-29,-41.54499054613523,26.895516494503244,33.23467135428451,41.20608727506362,130.52591837996616,35.48650427818344,17.820182337404642,329,1
107,age,30-59,-40.31874852599576,30.609330057585613,34.9088158708252,40.192741557853296,171.5985527509451,36.67503114364881,9.414533438669975,11515,1
108,age,60+,-164.69225628972518,-23.76918284016894,-4.04511897535529,10.444119743939954,90.44173294263892,-8.609948100633112,26.160072124662026,65540,1
109,prior_disability,0.0,-3.6038127468153833,16.14513149285689,18.08961306458339,19.691287185605617,41.56184461999685,17.804681878670944,2.899013116127596,39081,1
110,prior_disability,1.0,-26.766420540735126,5.490300964326598,7.7694265095796435,9.689228386455216,32.299316180776806,7.356144278298393,3.5193994502444514,13782,1
111,prior_disability,2.0,-41.68182158023119,-12.277740239840933,-9.699317020270973,-7.304433440905996,17.42238191103563,-9.783319943701436,4.367528184488427,8698,1
112,prior_disability,3.0,-82.45748035978527,-34.04040349515155,-30.755317790284753,-26.95978366352152,7.531541082942859,-30.34941239694686,5.876148135997883,9792,1
113,prior_disability,4.0,-101.02358120242134,-51.79236337760929,-43.01979148082435,-35.65459012607346,26.681590279713273,-43.23667352707823,10.809054770093095,4776,1
114,prior_disability,5.0,-126.02025496903806,-66.27640079759993,-51.050022679986434,-43.33540102747269,3.7436374605540186,-56.06660458078123,20.221919281832413,1245,1
115,any_afib_diagnosis,0.0,-10.46308118769899,2.5745734393037853,3.368708456456661,4.247252010577358,26.174493373930453,3.452499867198311,1.505176725345668,58460,1
116,any_afib_diagnosis,1.0,-40.67563431138173,-12.87709881549701,-10.621468527857214,-8.21810809366405,20.528416395820678,-10.633536018192864,4.015614592012398,18925,1
117,diabetes,0.0,-9.547634477340615,1.9550225663627498,2.3654717672336845,2.8729486444126815,14.145220523085445,2.529182277996325,1.1256534299082748,59754,1
118,diabetes,1.0,-56.75209624893032,-9.887497312249614,-8.080715197566896,-6.68090445915237,25.174631967567837,-8.644187872306247,3.7725587015150306,17631,1
119,precise_onset_known,0.0,-28.228272653166204,-2.6158704587072132,-1.9100526357069612,-1.265261925952509,11.833767364639789,-2.0144837383200977,1.4192749491779406,52428,1
120,precise_onset_known,1.0,-21.396254250574856,2.7604698127135636,4.12227904047817,5.458466938119382,42.817003616318104,4.246229985515873,2.847536076515669,24957,1
121,IMD_2019_QUINTILES,1.0,-29.743553603971378,-3.0288092342577873,-1.2967168821394444,0.6436788280308247,48.38366747890599,-1.0294252655768052,3.612556272692336,15381,1
122,IMD_2019_QUINTILES,2.0,-29.78310734040104,-2.2309608990699052,-1.061681768563576,0.08091987228021026,30.386018728297202,-1.0176625577276106,2.503540853457586,15405,1
123,IMD_2019_QUINTILES,3.0,-40.793910842631014,0.22177863562013955,0.7653849702328444,1.4098136305157096,20.13210793307051,0.8543920523747079,1.6409194760831047,15971,1
124,IMD_2019_QUINTILES,4.0,-22.012053493857383,-0.5814084576535969,0.1507511040382087,0.7040839221421629,24.19523690191563,-0.017285951448191273,1.8479110174062474,15886,1
125,IMD_2019_QUINTILES,5.0,-25.31251831850037,-0.4575167051842436,1.0082904423214494,2.111678293738514,60.81691361975856,0.8247309158184443,2.807628235240633,14742,1
126,stroke_severity_arrival,0.0,-52.52211804240942,27.731150148985908,32.104335366953165,35.75329811381176,68.19646430983208,31.19899597542762,6.72034615075217,7279,2
127,stroke_severity_arrival,1.0,-6.4992882654443385,43.59990397187882,48.80413726130966,53.04367829950759,73.39803223542869,48.307941560079534,5.982779024311579,7660,2
128,stroke_severity_arrival,2.0,-12.618858071789145,38.885036617694425,43.838453429099175,47.096636371454224,104.79442709375172,42.94924786589466,5.733011280049114,9541,2
129,stroke_severity_arrival,3.0,-11.986734014879913,28.19897831887007,31.55284006692469,33.98962284920737,64.30818462044932,31.012116436028098,4.97537292542882,8305,2
130,stroke_severity_arrival,4.0,-13.055685848351567,31.347849984914063,34.3526591204945,36.57631722895894,55.58461265811697,33.892487847000744,4.244387696354401,6611,2
131,stroke_severity_arrival,5.0,-16.10844455785118,25.08718664096668,27.704852655706926,29.64036244923249,51.475468287207185,27.26258673192326,3.6887748368756594,5188,2
132,stroke_severity_arrival,6.0,-14.453027124106884,17.052378901140763,18.782244663061576,20.524294591157233,46.62087138944305,18.658172507568857,3.0831880490640633,4356,2
133,stroke_severity_arrival,7.0,-11.709235882051289,6.328791308773216,8.351036705765873,10.616068297410383,29.262727774558588,8.622190849511936,3.693800923998513,3214,2
134,stroke_severity_arrival,8.0,-19.768528312118725,-3.0570471133384856,-0.34384147202363236,2.2329927720711567,35.964739054034,-0.24947468056355168,4.46888211165901,2553,2
135,stroke_severity_arrival,9.0,-32.47436039597727,-14.74620910262689,-11.201943697519601,-7.212656471899245,22.109372892165556,-10.6383149117132,5.712320301229402,2134,2
136,stroke_severity_arrival,10.0,-60.0822029522527,-24.74024507544469,-19.96932026504539,-15.352821517288685,37.93895638449118,-19.783172283911195,7.297728924425757,1795,2
137,stroke_severity_arrival,11.0,-51.36641573398374,-34.93650513306959,-29.5831653157901,-23.858636057691182,14.522457194607705,-28.885730134754848,8.313696796078347,1606,2
138,stroke_severity_arrival,12.0,-71.34679874053225,-41.77857730606105,-35.32657653237693,-27.680649325684644,11.987144923331217,-33.72614719856256,11.210131309927561,1474,2
139,stroke_severity_arrival,13.0,-93.45438299362547,-56.25079546177294,-49.41723906622268,-39.53895548528992,21.97997349385172,-47.278179577437484,11.925300188658941,1270,2
140,stroke_severity_arrival,14.0,-131.58118022558278,-71.38788699289552,-65.43585571220844,-56.339469198219014,-13.208398634428159,-62.963071857421035,11.653742942093215,1262,2
141,stroke_severity_arrival,15.0,-134.68375477869063,-79.13145881221163,-72.73821742177475,-62.58289148110431,-10.698110706079751,-70.34782250730805,12.444275796857864,1144,2
142,stroke_severity_arrival,16.0,-114.738568623811,-89.58718357821228,-80.8060767946858,-68.50680197010631,-21.153651017365046,-78.01670164490423,14.936096548711687,1174,2
143,stroke_severity_arrival,17.0,-122.62862012315541,-94.58106752758147,-86.21805672219955,-73.05230744157686,-4.721358370678499,-82.47397058664619,16.199437756163245,1136,2
144,stroke_severity_arrival,18.0,-128.4340740117058,-110.93357802095124,-102.30987371146679,-91.32094305752544,-25.078564788848162,-99.3319940653132,15.836354339891672,1092,2
145,stroke_severity_arrival,19.0,-136.59187224349938,-118.9929108832404,-110.51473967770579,-99.32853874074993,-37.59030137725174,-107.30184302216504,15.486727210123236,1078,2
146,stroke_severity_arrival,20.0,-182.30125835043378,-130.29732116505272,-119.74361804117449,-108.0316583489743,-46.57049357132055,-117.24018358402205,16.773540724472255,960,2
147,stroke_severity_arrival,21.0,-163.0684631651826,-136.43561339750886,-125.90566825336776,-112.50372565464117,-39.452601461857554,-122.79483188524154,17.982313564668157,893,2
148,stroke_severity_arrival,22.0,-160.7868752766587,-143.37440370477736,-134.9703230394423,-121.33682707076892,-43.02489166178741,-130.6760755881302,17.537800180503563,789,2
149,stroke_severity_arrival,23.0,-167.69274836095516,-150.1884083415731,-142.1039351886697,-127.98235261383,-64.43016119573265,-137.1629586156378,17.864677004814666,736,2
150,stroke_severity_arrival,24.0,-188.58538426733577,-164.81306989402276,-153.95368409489282,-136.78090486798902,-61.31880395219661,-149.27815635093407,20.089272697035963,754,2
151,stroke_severity_arrival,25.0,-185.68231775819325,-165.6454029279761,-155.55958259065636,-139.90477616941556,-79.16956312414258,-151.19889701459607,18.89420709604531,637,2
152,stroke_severity_arrival,26.0,-194.47790503391064,-172.96173354520462,-163.14842880223878,-148.30693663939834,-84.76595807374456,-158.97468381314218,18.78023346817552,557,2
153,stroke_severity_arrival,27.0,-209.2586427660566,-180.1691736105969,-171.34680817460642,-160.23199323422276,-73.92150527589023,-167.83937699830267,18.005353333000276,451,2
154,stroke_severity_arrival,28.0,-226.79637453821488,-191.40694912580773,-180.7379288111534,-166.43979457700624,-66.01660231192596,-177.07403093079975,20.29173905221698,365,2
155,stroke_severity_arrival,29.0,-219.4516081979964,-187.69808240421582,-178.9803628853988,-165.16299221968978,-117.89056991068647,-176.10781092951274,16.706319907294763,243,2
156,stroke_severity_arrival,30.0,-235.1419625583384,-198.98101235163398,-190.24830437151715,-177.67010698191822,-106.15412345837802,-187.0156498555212,18.691191810249926,237,2
157,stroke_severity_arrival,31.0,-217.90552398114465,-201.18515719005953,-187.02961096228103,-176.6476969881053,-113.37160655220039,-185.93111506211773,19.06464793076298,152,2
158,stroke_severity_arrival,32.0,-248.12501336471178,-207.23158083057962,-196.36743499463424,-176.03730799856595,-123.2728891061619,-191.64116076240302,21.76906436836535,149,2
159,stroke_severity_arrival,33.0,-255.91247226121834,-228.97875116940472,-206.4667927312851,-192.626394391472,-132.15870777799748,-208.48023229061576,23.568966870119162,104,2
160,stroke_severity_arrival,34.0,-253.3828454908915,-233.85460212663747,-224.02642236569898,-207.2679663148243,-177.72652341365813,-219.8104772542276,18.68259258018946,81,2
161,stroke_severity_arrival,35.0,-251.8219026205223,-233.00647893433228,-215.1210487570474,-189.41682964061619,-157.75730477155187,-209.7893111386703,25.262955384981385,62,2
162,stroke_severity_arrival,36.0,-250.7522951545287,-229.6393970442901,-216.2328518046066,-201.97961370561273,-153.0365060184896,-213.58387625342917,20.193655445430004,52,2
163,stroke_severity_arrival,37.0,-254.56168091961183,-235.58660470367408,-216.17336757441052,-199.48563133238815,-131.60743699144572,-214.55181394319095,25.08572975658202,41,2
164,stroke_severity_arrival,38.0,-244.08381576367654,-231.37288282898254,-208.61349213501438,-187.4772059128806,-133.7508293133136,-207.5797809427323,29.280777497949263,33,2
165,stroke_severity_arrival,39.0,-249.82084759199992,-225.6186530293431,-210.1111233976856,-193.74932176176225,-155.05938410576434,-210.66348355165744,22.167807440509613,24,2
